Number,Type,Name,Registration Point,Filename
2,bitmap,Map,"(640, 240)",
4,flash,Target,"(50, 50)",
6,flash,menu,"(275, 200)",
7,flash,loading,"(320, 240)",
8,flash,preloader5,"(320, 240)",
12,flash,Missile,"(121, 249)",
206,bitmap,casa011,"(77, 85)",
207,bitmap,casa021,"(55, 78)",
208,bitmap,casa031,"(33, 62)",
209,bitmap,casa041,"(43, 102)",
210,bitmap,casa051,"(43, 81)",
211,bitmap,casa061,"(52, 80)",
212,bitmap,edificio011,"(36, 128)",
213,bitmap,edificio021,"(42, 119)",
214,bitmap,edificio031,"(56, 127)",
215,bitmap,edificio041,"(51, 138)",
216,bitmap,edificio051,"(68, 117)",
217,bitmap,edificio061,"(63, 100)",
218,bitmap,fuente011,"(24, 35)",
219,bitmap,fuente021,"(32, 40)",
220,bitmap,palmera011,"(20, 81)",
221,bitmap,palmera021,"(11, 68)",
222,bitmap,palmera031,"(31, 69)",
223,bitmap,palmera041,"(18, 71)",
224,bitmap,palmera051,"(17, 64)",
225,bitmap,palmera061,"(10, 70)",
226,bitmap,palmera071,"(30, 72)",
227,bitmap,palmera081,"(9, 78)",
228,bitmap,palmera091,"(29, 77)",
229,bitmap,palmera101,"(9, 67)",
230,bitmap,palmera111,"(19, 74)",
231,bitmap,palmera121,"(7, 63)",
232,bitmap,puesto011,"(24, 28)",
233,bitmap,puesto021,"(18, 54)",
234,bitmap,puesto031,"(28, 61)",
235,bitmap,puesto041,"(23, 53)",
236,bitmap,puesto051,"(34, 44)",
237,bitmap,puesto061,"(35, 50)",
238,bitmap,puesto071,"(31, 57)",
239,bitmap,puesto081,"(47, 64)",
240,bitmap,casa012,"(77, 81)",
241,bitmap,casa013,"(71, 68)",
242,bitmap,casa022,"(61, 77)",
243,bitmap,casa023,"(63, 80)",
244,bitmap,casa032,"(30, 52)",
245,bitmap,casa033,"(43, 39)",
246,bitmap,casa042,"(45, 103)",
247,bitmap,casa043,"(51, 88)",
248,bitmap,casa052,"(43, 81)",
249,bitmap,casa053,"(46, 65)",
250,bitmap,casa062,"(55, 77)",
251,bitmap,casa063,"(54, 59)",
252,bitmap,edificio012,"(41, 129)",
253,bitmap,edificio013,"(42, 87)",
254,bitmap,edificio014,"(45, 71)",
255,bitmap,edificio022,"(41, 118)",
256,bitmap,edificio023,"(42, 92)",
257,bitmap,edificio024,"(42, 76)",
258,bitmap,edificio032,"(56, 126)",
259,bitmap,edificio033,"(65, 110)",
260,bitmap,edificio034,"(74, 75)",
261,bitmap,edificio042,"(66, 119)",
262,bitmap,edificio043,"(65, 90)",
263,bitmap,edificio044,"(73, 68)",
264,bitmap,edificio052,"(71, 119)",
265,bitmap,edificio053,"(75, 101)",
266,bitmap,edificio054,"(75, 67)",
267,bitmap,edificio062,"(63, 100)",
268,bitmap,edificio063,"(62, 89)",
269,bitmap,edificio064,"(68, 82)",
270,bitmap,palmera012,"(32, 71)",
271,bitmap,palmera013,"(7, 22)",
272,bitmap,palmera022,"(11, 46)",
273,bitmap,palmera023,"(16, 16)",
274,bitmap,palmera032,"(57, 13)",
275,bitmap,palmera033,"(52, 12)",
276,bitmap,palmera042,"(29, 59)",
277,bitmap,palmera043,"(10, 14)",
278,bitmap,palmera052,"(22, 46)",
279,bitmap,palmera053,"(26, 13)",
280,bitmap,palmera062,"(7, 44)",
281,bitmap,palmera063,"(10, 13)",
282,bitmap,palmera072,"(68, 23)",
283,bitmap,palmera073,"(10, 13)",
284,bitmap,palmera082,"(5, 65)",
285,bitmap,palmera083,"(13, 14)",
286,bitmap,palmera092,"(7, 44)",
287,bitmap,palmera093,"(10, 13)",
288,bitmap,palmera102,"(22, 17)",
289,bitmap,palmera103,"(10, 13)",
290,bitmap,palmera112,"(12, 57)",
291,bitmap,palmera113,"(14, 17)",
292,bitmap,palmera122,"(18, 40)",
293,bitmap,palmera123,"(14, 17)",
294,bitmap,puesto012,"(22, 27)",
295,bitmap,puesto013,"(23, 21)",
296,bitmap,puesto022,"(24, 51)",
297,bitmap,puesto023,"(23, 22)",
298,bitmap,puesto032,"(34, 60)",
299,bitmap,puesto033,"(31, 44)",
300,bitmap,puesto042,"(27, 62)",
301,bitmap,puesto043,"(25, 46)",
302,bitmap,puesto052,"(27, 33)",
303,bitmap,puesto053,"(28, 29)",
304,bitmap,puesto062,"(36, 49)",
305,bitmap,puesto063,"(35, 42)",
306,bitmap,puesto072,"(41, 53)",
307,bitmap,puesto073,"(32, 40)",
308,bitmap,puesto082,"(48, 63)",
309,bitmap,puesto083,"(48, 36)",
310,bitmap,fuente012,"(31, 40)",
311,bitmap,fuente013,"(27, 32)",
312,bitmap,fuente022,"(31, 38)",
313,bitmap,fuente023,"(37, 37)",
314,bitmap,edificio015,"(50, 88)",
315,bitmap,edificio016,"(49, 92)",
316,bitmap,edificio017,"(52, 120)",
317,bitmap,edificio018,"(52, 133)",
318,bitmap,edificio019,"(51, 137)",
319,bitmap,edificio025,"(52, 79)",
320,bitmap,edificio026,"(51, 94)",
321,bitmap,edificio027,"(54, 110)",
322,bitmap,edificio028,"(54, 117)",
323,bitmap,edificio029,"(58, 123)",
324,bitmap,edificio035,"(61, 92)",
325,bitmap,edificio036,"(73, 95)",
326,bitmap,edificio037,"(63, 102)",
327,bitmap,edificio038,"(65, 122)",
328,bitmap,edificio039,"(63, 128)",
329,bitmap,edificio045,"(51, 74)",
330,bitmap,edificio046,"(51, 89)",
331,bitmap,edificio047,"(67, 118)",
332,bitmap,edificio048,"(66, 138)",
333,bitmap,edificio049,"(65, 137)",
334,bitmap,edificio055,"(81, 86)",
335,bitmap,edificio056,"(81, 106)",
336,bitmap,edificio057,"(87, 114)",
337,bitmap,edificio058,"(85, 125)",
338,bitmap,edificio059,"(85, 126)",
339,bitmap,edificio065,"(70, 83)",
340,bitmap,edificio066,"(70, 91)",
341,bitmap,edificio067,"(69, 93)",
342,bitmap,edificio068,"(72, 104)",
343,bitmap,edificio069,"(73, 112)",
344,bitmap,casa014,"(74, 71)",
345,bitmap,casa024,"(64, 81)",
346,bitmap,casa034,"(35, 59)",
347,bitmap,casa044,"(48, 100)",
348,bitmap,casa054,"(45, 67)",
349,bitmap,casa064,"(53, 80)",
